Terme anglais;Terme français;Variant anglais;Variant français;Definition anglaise;Définition française;Note anglaise;Note française;Terme lié
optical character recognition;reconnaissance optique de caractères;OCR;"OCR;océrisation;ROC";The process of translating images of handwritten, typewritten, or printed text into a format understood by machines. (Shreya et al., Optical Character Recognition using Convolutional Neural Network, in 2019 6th International Conference on Computing for Sustainable Global Development, 2019);Technique reposant sur les méthodes appliquées en reconnaissance des formes, qui permet de convertir des caractères dactylographiés, imprimés, manuscrits ou sous forme d'image en caractères exploitables par un système informatique. (Office québécois de la langue française);;;
optical flow;flot optique;optic flow;;;;;;
optimal transport;transport optimal;;;;;;;
optimality theory;théorie de l'optimalité;OT;;;;;;
optimization algorithm;algorithme d'optimisation;optimisation algorithm;;Algorithm for finding the optimum or optima of a function. (Wikidata);Procédure mathématique qui permet d'obtenir les minimums (ou maximums) d'une fonction réelle f (que l'on appelle fonction objective). (Termium);;;
optimization;optimisation;"mathematical optimisation;optimisation";optimisation mathématique;The process of improving machine learning models by minimizing errors and maximize performance metrics to find the optimal parameters in order to obtain the desired results.\n;Amélioration de modèles d'apprentissage automatique par la sélection des meilleurs paramètres pour obtenir les sorties souhaitées en minimisant ou maximisant certaines fonctions.;;;
oral communication;communication orale;;;;;;;
ordinal regression;régression ordinale;ordinal classification;classification ordinale;A regression model to predict an ordinal variable. (Loterre);Modèle de régression permettant de prédire une variable ordinale. (Loterre);;;
ornithonymy;ornithonymie;;;;;;;
oronymy;oronymie;;;;;;;
out-of-vocabulary words;mots hors vocabulaire;;;;;;;
output layer;couche de sortie;;;Basic layer in a neural machine translation system in which the target text is created. (Loterre);Couche « finale » d'un réseau de neurones, et qui contient les réponses. (Source https://datafranca.org/wiki/Couche_de_sortie);;;
output;sortie;;;;;;;
overfitting;sur-ajustement;;sur-apprentissage;Overfitting occurs when a machine learning model learns to perform exceedingly well on the training data but poorly on new, unseen data. This usually happens when the model memorizes the training data rather than learning the underlying patterns, making it less generalizable to new data. (Ubiquity, Glossary of terms related to Generative artificial intelligence);;;;Underfitting
Overview;Overview;;;A document mining application originally built for investigative journalists. It's also used for legal work, training machine learning models, and research of all types. It's a visualization and analysis tool designed for sets of documents, from dozens to millions of pages of material. (Loterre);Application d'exploration de documents construite à l'origine pour les journalistes d'investigation. Elle est également utilisée pour le travail juridique, l'entraînement de modèles d'apprentissage automatique et les recherches de tous types. C'est un outil de visualisation et d'analyse conçu pour des ensembles de documents, de quelques dizaines à des millions de pages de matériel. (Loterre);;;
palatal consonant;consonne palatale;palatal;palatale;;;;;
palatalization;palatalisation;palatalisation;mouillement;;;;;
palato-alveolar fricative;consonne chuintante;palato-alveolar;chuintante;;;;;
parallel corpus;corpus parallèle;parallel text;concordancier;Collection of texts, each of which is translated into one or more other languages than the original. (http://www.ilc.cnr.it/EAGLES96/corpustyp/node20.html);Ensemble de textes dans une langue source accompagnés de leurs traductions dans une ou plusieurs langues cibles. (https://tel.archives-ouvertes.fr/tel-00949025/document);;;
parallelism;parallélisme;"parallel computation;parallel processing2";"calcul parallèle;programmation parallèle9";;;;;
parameter estimation;estimation des paramètres;;;;;;;
parameter;paramètre;;;Internal variable of a model that affects how it computes its outputs. (ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intelligence concepts and terminology);Propriété apprise de données utilisées pour l'entraînement en intelligence artificielle (par exemple le poids de chaque neurone d'un réseau). (CNIL);;;
paraphrase;paraphrase;;;;;;;
paraphrasing;paraphrasage;;;A task/process whereby a text fragment is reproduced with another text fragment that conveys the same or similar information. (Loterre);Tâche/processus par lequel un fragment de texte est reproduit avec un autre fragment de texte qui transmet des informations identiques ou similaires. (Loterre);;;
parataxis;parataxe;;;;;;;
parenthetical clause;incise;;;;;;;
parser;analyseur;analyzer;système d'analyse;;;;;
participle;participe;;;;;;;
particle verb;verbe à particule;;;;;;;
particle;particule;;;;;;;
partitive article;article partitif;;;;;;;
passé composé;passé composé;;;;;;;
passé simple;passé simple;;passé défini;;;;;
passive condition;passif d'état;;;;;;;
passive;passif;;;;;;;
passivization;passivation;;;;;;;
past participle;participe passé;;participe passé en anglais;;;;;
past;passé;;;;;;;
patient;patient;;;;;;;
pattern matching;reconnaissance des formes;;;;;;;
Pattern;Pattern;;;;;;;
Pearson correlation;corrélation de Pearson;"correlation coefficient;Pearson correlation coefficient2Pearson coefficient3";"coefficient de corrélation;coefficient de corrélation de Pearson9";;;;;
PEGAUSUS;PEGAUSUS;Pre-training with Extracted Gap-sentences for Abstractive SUmmarization Sequence-to-sequence;;Pre-trained language model for text summarization. (Loterre);Modèle de langue pré-entraîné pour le résumé de textes. (Loterre);;;
perception verb;verbe de perception;;;;;;;
Perceptron;Perceptron;;;An algorithm for supervised learning of binary classifiers. (Wikipedia);Algorithme d'apprentissage supervisé de classifieurs binaires. (Wikipédia);;;
perfective aspect;aspect perfectif;accomplished aspect;"aspect accompli;aspect parfait9";;;;;
performative;performatif;;;;;;;
periphrastic form;forme périphrastique;;;;;;;
personal pronoun;pronom personnel;;;;;;;
persuasion;persuasion;;;;;;;
pharyngealization;pharyngalisation;pharyngealisation;;;;;;
Philologic;Philologic;PhilSoc;PhilSoc;The primary full-text search, retrieval and analysis tool developed by the ARTFL Project and the Digital Library Development Center (DLDC) at the University of Chicago. (Loterre);Principal outil de recherche, d'extraction et d'analyse en texte intégral développé par le projet ARTFL et le Digital Library Development Center (DLDC) de l'Université de Chicago. (Loterre);;;
phoneme;phonème;;;;;;;
phonetic assimilation;assimilation phonétique;;;;;;;
phonetic feature;trait phonétique;;;;;;;
phonetic reduction;réduction phonétique;;;;;;;
phonetic variation;variation phonétique;;;;;;;
phonetics and phonology;phonétique et phonologie;;;;;;;
phonetics;phonétique;;;A branch of linguistics that focuses on the production and classification of the world’s speech sounds. (Centre for Linguistic Research, University of Sheffield);Étude des sons du langage et de leurs propriétés physiques. (Office québécois de la langue française);;;
phonological category;catégorie phonologique;;;;;;;
phonological derivation;dérivation phonologique;;;;;;;
phonological process;processus phonologique;;;;;;;
phonology;phonologie;;;"The study of the categorical organisation of speech sounds in languages; how speech sounds are organised in the mind and used to convey meaning. (Centre for Linguistic Research, University of Sheffield)";Étude des sons du langage comme éléments fonctionnels d'une langue donnée. (Office québécois de la langue française);;;
phonotactics;phonotactique;;;;;;;
phrase head;tête de syntagme;;;;;;;
phrase;syntagme;syntagm;;;;;;
phrase-based machine translation;traduction automatique basée sur les segments;PBMT;traduction automatique à base de syntagmes;Type of statistical machine translation that breaks down the source sentence into smaller units called phrases, which are then translated into the target language.;Type de traduction automatique statistique qui divise la phrase source en unités plus petites appelées phrases, qui sont ensuite traduites dans la langue cible.;;;
